Version,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_policy_status_description,,Direct mapping,LSM,dim_transaction_status,transaction_status,varchar(16383),"It refers to the current state of a policy, indicating whether it is live, expired, cancelled, pending,etc.",,Yes,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_policy_status_description,,Direct mapping,LSM,dim_transaction_status,Business_key,varchar(16383),Technical column which has source business keys and it is unique for all the records.,,,
v1.1,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Default Value in Target,Comment
v1.1,POLICY,ACTURIS-SDW,,,,,LSM,dim_lifecycle_status,lifecycle_status_id,bigint,"Primary Key for dim_lifecycle_status, this column contains unique autogenerated values.",,,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_business_event_description,,Direct mapping,LSM,dim_lifecycle_status,lifecycle_status,mo,"Business event ia an event happens on a policy in form of an  update like new business, MTA, TMTA, cancellation,etc.",,Yes,
v1.1,POLICY,ACTURIS-SDW,mo_sdw_policy,mo_plc_business_event_description,,Direct mapping,LSM,dim_lifecycle_status,Business_key,varchar(16383),Technical column which has source business keys and it is unique for all the records.,,,
v1.1,Segment,Sysytem Source ,Source Object Name (Curated),Source Field Name,Source Field Data Type,Transformation Rule,Target System Name ,Target Object Name ,Target Field Name,Target Field Data Type,Target Field Description,Default Value in Target,Mandatory,Comment
v1.1,VEHICLE,ACTURIS-SDW,,,,,LSM,dim_vehicle,vehicle_id,bigint,"Primary Key for dim_vehicle, this column contains unique autogenerated values.",,Yes,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1. Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Registration number'.",LSM,dim_vehicle,registration_number,varchar(16383),It is the unique alphanumeric code assigned to a vehicle for official identification and registration purposes.,,Yes,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Vehicle make'.",LSM,dim_vehicle,vehicle_make,varchar(16383),"It refers to the brand or manufacturer of a vehicle, indicating the company that produced it.",,,
v1.1,VEHICLE,ACTURIS-SDW,mo_sdw_part_answer_bridge,mo_prt_ans_brd_answer_text,,"1.Join part table with  policy table on policy_key, part_answer_bridge table on part_key and product_question table on product_question_key 2. Populate when question_text column from product_question table is 'Vehicle model'.",LSM,dim_vehicle,vehicle_model,varchar(16383),It refers to the specific design or series of a vehicle produced by a manufacturer,,,
